seriesAcronym,acronym,city,country,startDate,endDate,year,url
SCALA,SCALA 2014,Uppsala,Sweden,2014-07-28,2014-07-29,2014,http://portal.confref.org/list/scala2014
PSATS,PSATS 2014,Genova,Italy,2014-07-28,2014-07-29,2014,http://portal.confref.org/list/psats2014
NCMA,NCMA 2014,Kassel,Germany,2014-07-28,2014-07-29,2014,http://portal.confref.org/list/ncma2014
ECOOP,ECOOP 2014,Uppsala,Sweden,2014-07-28,2014-08-29,2014,http://portal.confref.org/list/ecoop2014
DIAGRAMS,DIAGRAMS 2014,Melbourne,Australia,2014-07-28,2014-08-01,2014,http://portal.confref.org/list/diagrams2014
CGAMES,CGAMES 2014,Louisville,USA,2014-07-28,2014-07-30,2014,http://portal.confref.org/list/cgames2014
AGILEDC,AGILEDC 2014,Orlando,United States of America,2014-07-28,2014-08-01,2014,http://portal.confref.org/list/agiledc2014
INDIN,INDIN 2014,Porto Alegre,Brazil,2014-07-27,2014-07-30,2014,http://portal.confref.org/list/indin2014
ICCS,ICCS 2014,Iaşi,Romania,2014-07-27,2014-07-30,2014,http://portal.confref.org/list/iccs2014
AAAI,AAAI 2014,Québec City,Canada,2014-07-27,2014-07-28,2014,http://portal.confref.org/list/aaai2014
TAP,TAP 2014,York,UK,2014-07-24,2014-07-25,2014,http://portal.confref.org/list/tap2014
SOFA,SOFA 2014,Timișoara,Romania,2014-07-24,2014-07-26,2014,http://portal.confref.org/list/sofa2014
ICSLE,ICSLE 2014,Hong Kong,People's Republic of China,2014-07-24,2014-07-25,2014,http://portal.confref.org/list/icsle2014
WISEC,WISEC 2014,Oxford,United Kingdom,2014-07-23,2014-07-25,2014,http://portal.confref.org/list/wisec2014
UAI,UAI 2014,Quebec City,Canada,2014-07-23,2014-07-27,2014,http://portal.confref.org/list/uai2014
SIROCCO,SIROCCO 2014,Takayama,Japan,2014-07-23,2014-07-25,2014,http://portal.confref.org/list/sirocco2014
PST,PST 2014,Toronto,Canada,2014-07-23,2014-07-24,2014,http://portal.confref.org/list/pst2014
ISSAC,ISSAC 2014,Kobe,Japan,2014-07-23,2014-07-25,2014,http://portal.confref.org/list/issac2014
CSNDSP,CSNDSP 2014,Manchester,United Kingdom,2014-07-23,2014-07-25,2014,http://portal.confref.org/list/csndsp2014
COGSCI,COGSCI 2014,Quebec City,Canada,2014-07-23,2014-07-26,2014,http://portal.confref.org/list/cogsci2014
WODA,WODA 2014,San Jose,United States of America,2014-07-22,2014-07-22,2014,http://portal.confref.org/list/woda2014
SAB,SAB 2014,Castellón,Spain,2014-07-22,2014-07-25,2014,http://portal.confref.org/list/sab2014
GG,GG 2014,York,UK,2014-07-22,2014-07-24,2014,http://portal.confref.org/list/gg2014
BMFA,BMFA 2014,York,UK,2014-07-22,2014-07-22,2014,http://portal.confref.org/list/bmfa2014
STAF,STAF 2014,York,UK,2014-07-21,2014-07-25,2014,http://portal.confref.org/list/staf2014
SPIN,SPIN 2014,San Jose,United States of America,2014-07-21,2014-07-23,2014,http://portal.confref.org/list/spin2014
RFIDSEC,RFIDSEC 2014,Oxford,United Kingdom,2014-07-21,2014-07-23,2014,http://portal.confref.org/list/rfidsec2014
MLDM,MLDM 2014,Saint Petersburg,Russia,2014-07-21,2014-07-24,2014,http://portal.confref.org/list/mldm2014
KR4HC,KR4HC 2014,Vienna,Austria,2014-07-21,2014-07-21,2014,http://portal.confref.org/list/kr4hc2014
ISSTA,ISSTA 2014,San Jose,United States of America,2014-07-21,2014-07-22,2014,http://portal.confref.org/list/issta2014
ICMT,ICMT 2014,York,UK,2014-07-21,2014-07-22,2014,http://portal.confref.org/list/icmt2014
ECMDAFA,ECMDAFA 2014,York,UK,2014-07-21,2014-07-25,2014,http://portal.confref.org/list/ecmdafa2014
COMPSAC,COMPSAC 2014,Vasteras,Sweden,2014-07-21,2014-07-25,2014,http://portal.confref.org/list/compsac2014
ARGNLP,ARGNLP 2014,Forlì-Cesena,Italy,2014-07-21,2014-07-25,2014,http://portal.confref.org/list/argnlp2014
KR,KR 2014,Vienna,Austria,2014-07-20,2014-07-24,2014,http://portal.confref.org/list/kr2014
TABLEAUX,TABLEAUX 2014,Vienna,Austria,2014-07-19,2014-07-22,2014,http://portal.confref.org/list/tableaux2014
FROCOS,FROCOS 2014,Vienna,Austria,2014-07-19,2014-07-22,2014,http://portal.confref.org/list/frocos2014
CADE,CADE 2014,Vienna,Austria,2014-07-19,2014-07-24,2014,http://portal.confref.org/list/cade2014
WWV,WWV 2014,Vienna,Austria,2014-07-18,2014-07-18,2014,http://portal.confref.org/list/wwv2014
STAST,STAST 2014,Vienna,Austria,2014-07-18,2014-07-18,2014,http://portal.confref.org/list/stast2014
ITRS,ITRS 2014,Vienna,Austria,2014-07-18,2014-07-18,2014,http://portal.confref.org/list/itrs2014
VSTTE,VSTTE 2014,Vienna,Austria,2014-07-17,2014-07-18,2014,http://portal.confref.org/list/vstte2014
VPT,VPT 2014,Vienna,Austria,2014-07-17,2014-07-18,2014,http://portal.confref.org/list/vpt2014
SMT,SMT 2014,Vienna,Austria,2014-07-17,2014-07-18,2014,http://portal.confref.org/list/smt2014
LFMTP,LFMTP 2014,Vienna,Austria,2014-07-17,2014-07-17,2014,http://portal.confref.org/list/lfmtp2014
HCVS,HCVS 2014,Vienna,Austria,2014-07-17,2014-07-17,2014,http://portal.confref.org/list/hcvs2014
FHIES,FHIES 2014,"Washington, D.C.",United States of America,2014-07-17,2014-07-18,2014,http://portal.confref.org/list/fhies2014
DLOG,DLOG 2014,Vienna,Austria,2014-07-17,2014-07-20,2014,http://portal.confref.org/list/dlog2014
DILS,DILS 2014,Lisbon,Portugal,2014-07-17,2014-07-18,2014,http://portal.confref.org/list/dils2014
CAV,CAV 2014,Vienna,Austria,2014-07-17,2014-07-24,2014,http://portal.confref.org/list/cav2014
VDAT,VDAT 2014,Coimbatore,India,2014-07-16,2014-07-18,2014,http://portal.confref.org/list/vdat2014
PET,PET 2014,Amsterdam,The Netherlands,2014-07-16,2014-07-18,2014,http://portal.confref.org/list/pet2014
IV,IV 2014,Paris,France,2014-07-16,2014-07-18,2014,http://portal.confref.org/list/iv2014
INCDM,INCDM 2014,Saint Petersburg,Russia,2014-07-16,2014-07-20,2014,http://portal.confref.org/list/incdm2014
AMDO,AMDO 2014,Palma de Mallorca,Spain,2014-07-16,2014-07-18,2014,http://portal.confref.org/list/amdo2014
ROBOCUP,ROBOCUP 2014,João Pessoa,Brazil,2014-07-15,2014-07-15,2014,http://portal.confref.org/list/robocup2014
PODC,PODC 2014,Paris,France,2014-07-15,2014-07-18,2014,http://portal.confref.org/list/podc2014
IPMU,IPMU 2014,Montpellier,France,2014-07-15,2014-07-19,2014,http://portal.confref.org/list/ipmu2014
IAS,IAS 2014,Padova,Italy,2014-07-15,2014-07-18,2014,http://portal.confref.org/list/ias2014
ARMS-CC,ARMS-CC 2014,Paris,France,2014-07-15,2014-07-15,2014,http://portal.confref.org/list/arms-cc2014
UC,UC 2014,London,Canada,2014-07-14,2014-07-18,2014,http://portal.confref.org/list/uc2014
TLCA,TLCA 2014,Vienna,Austria,2014-07-14,2014-07-17,2014,http://portal.confref.org/list/tlca2014
SAMOS,SAMOS 2014,Samos,Greece,2014-07-14,2014-07-17,2014,http://portal.confref.org/list/samos2014
MDM,MDM 2014,Brisbane,Australia,2014-07-14,2014-07-18,2014,http://portal.confref.org/list/mdm2014
ITP,ITP 2014,Vienna,Austria,2014-07-14,2014-07-17,2014,http://portal.confref.org/list/itp2014
ICMCS,ICMCS 2014,Chengdu,People's Republic of China,2014-07-14,2014-07-18,2014,http://portal.confref.org/list/icmcs2014
DBSEC,DBSEC 2014,Vienna,Austria,2014-07-14,2014-07-16,2014,http://portal.confref.org/list/dbsec2014
AHS,AHS 2014,Leicester,UK,2014-07-14,2014-07-17,2014,http://portal.confref.org/list/ahs2014
ADC,ADC 2014,Brisbane,Australia,2014-07-14,2014-07-16,2014,http://portal.confref.org/list/adc2014
XSEDE,XSEDE 2014,Atlanta,United States of America,2014-07-13,2014-07-13,2014,http://portal.confref.org/list/xsede2014
TERMGRAPH,TERMGRAPH 2014,Vienna,Austria,2014-07-13,2014-07-13,2014,http://portal.confref.org/list/termgraph2014
SAT,SAT 2014,Vienna,Austria,2014-07-13,2014-07-17,2014,http://portal.confref.org/list/sat2014
RTA,RTA 2014,Vienna,Austria,2014-07-13,2014-07-18,2014,http://portal.confref.org/list/rta2014
PAAP,PAAP 2014,Beijing,People's Republic of China,2014-07-13,2014-07-15,2014,http://portal.confref.org/list/paap2014
ORE,ORE 2014,Vienna,Austria,2014-07-13,2014-07-13,2014,http://portal.confref.org/list/ore2014
IGARSS,IGARSS 2014,Quebec City,Canada,2014-07-13,2014-07-18,2014,http://portal.confref.org/list/igarss2014
ICMLC,ICMLC 2014,Lanzhou,China,2014-07-13,2014-07-16,2014,http://portal.confref.org/list/icmlc2014
CLANDC,CLANDC 2014,Vienna,Austria,2014-07-13,2014-07-13,2014,http://portal.confref.org/list/clandc2014
RSS,RSS 2014,Berkeley,United States of America,2014-07-12,2014-07-16,2014,http://portal.confref.org/list/rss2014
GECCO,GECCO 2014,Vancouver,Canada,2014-07-12,2014-07-16,2014,http://portal.confref.org/list/gecco2014
DEON,DEON 2014,Ghent,Belgium,2014-07-12,2014-07-15,2014,http://portal.confref.org/list/deon2014
RC,RC 2014,Kyoto,Japan,2014-07-10,2014-07-11,2014,http://portal.confref.org/list/rc2014
ICSH,ICSH 2014,Beijing,People's Republic of China,2014-07-10,2014-07-11,2014,http://portal.confref.org/list/icsh2014
ICOC,ICOC 2014,Shanghai,People's Republic of China,2014-07-10,2014-07-11,2014,http://portal.confref.org/list/icoc2014
ICIMTH,ICIMTH 2014,Athens,Greece,2014-07-10,2014-07-13,2014,http://portal.confref.org/list/icimth2014
ICIMCS,ICIMCS 2014,Xiamen,China,2014-07-10,2014-07-12,2014,http://portal.confref.org/list/icimcs2014
DIMVA,DIMVA 2014,Egham,UK,2014-07-10,2014-07-11,2014,http://portal.confref.org/list/dimva2014
SOUPS,SOUPS 2014,Menlo Park,USA,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/soups2014
SATTOSE,SATTOSE 2014,L'Aquila,Italy,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/sattose2014
RSEISP,RSEISP 2014,Granada and Madrid,Spain,2014-07-09,2014-07-13,2014,http://portal.confref.org/list/rseisp2014
RSCTC,RSCTC 2014,Granada and Madrid,Spain,2014-07-09,2014-07-13,2014,http://portal.confref.org/list/rsctc2014
MIUA,MIUA 2014,Egham,UK,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/miua2014
ISVLSI,ISVLSI 2014,Tampa,USA,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/isvlsi2014
INTETAIN,INTETAIN 2014,Chicago,United States of America,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/intetain2014
INMED,INMED 2014,San Sebastian,Spain,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/inmed2014
ICCHP,ICCHP 2014,Paris,France,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/icchp2014
EUROPLOP,EUROPLOP 2014,Irsee,Germany,2014-07-09,2014-07-13,2014,http://portal.confref.org/list/europlop2014
CHINASIP,CHINASIP 2014,Xi'an,People's Republic of China,2014-07-09,2014-07-13,2014,http://portal.confref.org/list/chinasip2014
ADG,ADG 2014,Coimbra,Portugal,2014-07-09,2014-07-11,2014,http://portal.confref.org/list/adg2014
WDFIA,WDFIA 2014,Plymouth,UK,2014-07-08,2014-07-10,2014,http://portal.confref.org/list/wdfia2014
WCET,WCET 2014,Ulm,Germany,2014-07-08,2014-07-08,2014,http://portal.confref.org/list/wcet2014
NANOARCH,NANOARCH 2014,Paris,France,2014-07-08,2014-07-10,2014,http://portal.confref.org/list/nanoarch2014
INC,INC 2014,Plymouth,UK,2014-07-08,2014-07-10,2014,http://portal.confref.org/list/inc2014
ICALP,ICALP 2014,Denmark,United States of America,2014-07-08,2014-07-11,2014,http://portal.confref.org/list/icalp2014
HAISA,HAISA 2014,Plymouth,UK,2014-07-08,2014-07-09,2014,http://portal.confref.org/list/haisa2014
EVA,EVA 2014,London,United Kingdom,2014-07-08,2014-07-10,2014,http://portal.confref.org/list/eva2014
ECRTS,ECRTS 2014,Madrid,Spain,2014-07-08,2014-07-11,2014,http://portal.confref.org/list/ecrts2014
AIMECH,AIMECH 2014,Besancon,France,2014-07-08,2014-07-11,2014,http://portal.confref.org/list/aimech2014
AAIM,AAIM 2014,Vancouver,Canada,2014-07-08,2014-07-11,2014,http://portal.confref.org/list/aaim2014
WBIR,WBIR 2014,London,United Kingdom,2014-07-07,2014-07-08,2014,http://portal.confref.org/list/wbir2014
UM,UM 2014,Aalborg,Denmark,2014-07-07,2014-07-11,2014,http://portal.confref.org/list/um2014
PLM,PLM 2014,Yokohama,Japan,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/plm2014
MKM,MKM 2014,Coimbra,Portugal,2014-07-07,2014-07-11,2014,http://portal.confref.org/list/mkm2014
IOLTS,IOLTS 2014,Platja d'Aro,Spain,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/iolts2014
IISA,IISA 2014,Chania,Greece,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/iisa2014
IFIPTM,IFIPTM 2014,Singapore,Singapore,2014-07-07,2014-07-10,2014,http://portal.confref.org/list/ifiptm2014
IFIP5-1,IFIP5-1 2014,Yokohama,Japan,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/ifip5-12014
IDEAS,IDEAS 2014,Porto,Portugal,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/ideas2014
ICALT,ICALT 2014,Athens,Greece,2014-07-07,2014-07-10,2014,http://portal.confref.org/list/icalt2014
HPC,HPC 2014,Cetraro,Italy,2014-07-07,2014-07-11,2014,http://portal.confref.org/list/hpc2014
FUSION,FUSION 2014,Salamanca,Spain,2014-07-07,2014-07-10,2014,http://portal.confref.org/list/fusion2014
CITS,CITS 2014,Jeju,South Korea,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/cits2014
AUTOMATA,AUTOMATA 2014,Himeji,Japan,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/automata2014
UMAP,UMAP 2014,Aalborg,Denmark,2014-07-07,2014-07-11,2014,http://portal.confref.org/list/ah2014
ACISP,ACISP 2014,Wollongong,Australia,2014-07-07,2014-07-09,2014,http://portal.confref.org/list/acisp2014
SPECTS,SPECTS 2014,Monterey,United States of America,2014-07-06,2014-07-10,2014,http://portal.confref.org/list/spects2014
SIGIR,SIGIR 2014,Gold Coast,Australia,2014-07-06,2014-07-11,2014,http://portal.confref.org/list/sigir2014
SCSC,SCSC 2014,Monterey,United States of America,2014-07-06,2014-07-10,2014,http://portal.confref.org/list/scsc2014
IJCNN,IJCNN 2014,Beijing,People's Republic of China,2014-07-06,2014-07-11,2014,http://portal.confref.org/list/ijcnn2014
FUZZIEEE,FUZZIEEE 2014,Beijing,People's Republic of China,2014-07-06,2014-07-11,2014,http://portal.confref.org/list/fuzzieee2014
EBISS,EBISS 2014,Berlin,Germany,2014-07-06,2014-07-11,2014,http://portal.confref.org/list/ebiss2014
CEC,CEC 2014,Beijing,People's Republic of China,2014-07-06,2014-07-11,2014,http://portal.confref.org/list/cec2014
NDES,NDES 2014,Albena,Bulgaria,2014-07-04,2014-07-06,2014,http://portal.confref.org/list/ndes2014
EDM,EDM 2014,London,United Kingdom,2014-07-04,2014-07-07,2014,http://portal.confref.org/list/edm2014
CSO,CSO 2014,Beijing,People's Republic of China,2014-07-04,2014-07-06,2014,http://portal.confref.org/list/cso2014
APBPM,APBPM 2014,Brisbane,Australia,2014-07-03,2014-07-04,2014,http://portal.confref.org/list/apbpm2014
SWAT,SWAT 2014,Denmark,United States of America,2014-07-02,2014-07-04,2014,http://portal.confref.org/list/swat2014
GALA,GALA 2014,Bucharest,Romania,2014-07-02,2014-07-04,2014,http://portal.confref.org/list/gala2014
ECDA,ECDA 2014,Bremen,Germany,2014-07-02,2014-07-04,2014,http://portal.confref.org/list/ecda2014
CISIS,CISIS 2014,Birmingham,UK,2014-07-02,2014-07-04,2014,http://portal.confref.org/list/cisis2014
3DTV,3DTV 2014,Pest,Hungary,2014-07-02,2014-07-04,2014,http://portal.confref.org/list/3dtv2014
TALN,TALN 2014,Marseille,France,2014-07-01,2014-07-04,2014,http://portal.confref.org/list/taln2014
SEKE,SEKE 2014,Vancouver,Canada,2014-07-01,2014-07-03,2014,http://portal.confref.org/list/seke2014
ITEM,ITEM 2014,Potsdam,Germany,2014-07-01,2014-07-04,2014,http://portal.confref.org/list/item2014
IFIP3-7,IFIP3-7 2014,Potsdam,Germany,2014-07-01,2014-07-04,2014,http://portal.confref.org/list/ifip3-72014
ICWE,ICWE 2014,Toulouse,France,2014-07-01,2014-07-04,2014,http://portal.confref.org/list/icwe2014
HPSR,HPSR 2014,Vancouver,Canada,2014-07-01,2014-07-04,2014,http://portal.confref.org/list/hpsr2014
FUN,FUN 2014,Lipari Island,Italy,2014-07-01,2014-07-03,2014,http://portal.confref.org/list/fun2014
ALCOB,ALCOB 2014,Tarragona,Spain,2014-07-01,2014-07-03,2014,http://portal.confref.org/list/alcob2014
WISTP,WISTP 2014,Heraklion,Greece,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/wistp2014
VECPAR,VECPAR 2014,Eugene,USA,2014-06-30,2014-07-03,2014,http://portal.confref.org/list/vecpar2014
TRUST,TRUST 2014,Heraklion,Greece,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/trust2014
TEA,TEA 2014,Zeist,The Netherlands,2014-06-30,2014-07-01,2014,http://portal.confref.org/list/tea2014
SYSTOR,SYSTOR 2014,Haifa,Israel,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/systor2014
SSIRI,SSIRI 2014,San Francisco,United States of America,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/ssiri2014
SSDBM,SSDBM 2014,Aalborg,Denmark,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/ssdbm2014
SNPD,SNPD 2014,Las Vegas,United States of America,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/snpd2014
SECON,SECON 2014,Singapore,Singapore,2014-06-30,2014-07-03,2014,http://portal.confref.org/list/secon2014
QOSA,QOSA 2014,Marcq-en-Baroeul,France,2014-06-30,2014-07-04,2014,http://portal.confref.org/list/qosa2014
QI,QI 2014,Filzbach,Switzerland,2014-06-30,2014-07-03,2014,http://portal.confref.org/list/qi2014
NIME,NIME 2014,London,United Kingdom,2014-06-30,2014-07-04,2014,http://portal.confref.org/list/nime2014
INTENV,INTENV 2014,Shanghai,People's Republic of China,2014-06-30,2014-07-04,2014,http://portal.confref.org/list/intenv2014
ICISP,ICISP 2014,Cherbourg,France,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/icisp2014
ICDCS,ICDCS 2014,Madrid,Spain,2014-06-30,2014-07-03,2014,http://portal.confref.org/list/icdcs2014
ICCSA,ICCSA 2014,Guimarães,Portugal,2014-06-30,2014-07-03,2014,http://portal.confref.org/list/iccsa2014
DEPCOS,DEPCOS 2014,Brunow,Poland,2014-06-30,2014-07-04,2014,http://portal.confref.org/list/depcos2014
CBSE,CBSE 2014,Marcq-en-Baroeul/Lille,France,2014-06-30,2014-07-04,2014,http://portal.confref.org/list/cbse2014
CAA,CAA 2014,Zeist,The Netherlands,2014-06-30,2014-07-01,2014,http://portal.confref.org/list/caa2014
ASMTA,ASMTA 2014,Pest,Hungary,2014-06-30,2014-07-02,2014,http://portal.confref.org/list/asmta2014
AIMS,AIMS 2014,Brno,Czech Republic,2014-06-30,2014-07-03,2014,http://portal.confref.org/list/aims2014
WEA,WEA 2014,Denmark,United States of America,2014-06-29,2014-07-01,2014,http://portal.confref.org/list/wea2014
VSS,VSS 2014,Nantes,France,2014-06-29,2014-07-02,2014,http://portal.confref.org/list/vss2014
SSP,SSP 2014,Gold Coast,Australia,2014-06-29,2014-07-02,2014,http://portal.confref.org/list/ssp2014
MAMMO,MAMMO 2014,Gifu City,Japan,2014-06-29,2014-07-02,2014,http://portal.confref.org/list/mammo2014
ISIT,ISIT 2014,Honolulu,United States of America,2014-06-29,2014-07-04,2014,http://portal.confref.org/list/isit2014
ISBRA,ISBRA 2014,Zhangjiajie,China,2014-06-28,2014-06-30,2014,http://portal.confref.org/list/isbra2014
IPCAI,IPCAI 2014,Fukuoka,Japan,2014-06-28,2014-06-28,2014,http://portal.confref.org/list/ipcai2014
FAW,FAW 2014,Zhangjiajie,China,2014-06-28,2014-06-30,2014,http://portal.confref.org/list/faw2014
WASSA,WASSA 2014,Baltimore,United States of America,2014-06-27,2014-06-27,2014,http://portal.confref.org/list/wassa2014
SIGMORPHON,SIGMORPHON 2014,Baltimore,United States of America,2014-06-27,2014-06-27,2014,http://portal.confref.org/list/sigmorphon2014
SERVICES,SERVICES 2014,Anchorage,USA,2014-06-27,2014-07-02,2014,http://portal.confref.org/list/services2014
NETCOD,NETCOD 2014,Aalborg Oest,Denmark,2014-06-27,2014-06-28,2014,http://portal.confref.org/list/netcod2014
MOBSERV,MOBSERV 2014,Anchorage,USA,2014-06-27,2014-07-02,2014,http://portal.confref.org/list/mobserv2014
IEEESCC,IEEESCC 2014,Anchorage,USA,2014-06-27,2014-07-02,2014,http://portal.confref.org/list/ieeescc2014
IEEECLOUD,IEEECLOUD 2014,Anchorage,USA,2014-06-27,2014-07-02,2014,http://portal.confref.org/list/ieeecloud2014
ICWS,ICWS 2014,Anchorage,USA,2014-06-27,2014-07-02,2014,http://portal.confref.org/list/icws2014
COMPSYSTECH,COMPSYSTECH 2014,Ruse,Bulgaria,2014-06-27,2014-06-28,2014,http://portal.confref.org/list/compsystech2014
BIONLP,BIONLP 2014,Baltimore,Maryland,2014-06-27,2014-06-28,2014,http://portal.confref.org/list/bionlp2014
BIGDATA,BIGDATA 2014,Anchorage,USA,2014-06-27,2014-07-02,2014,http://portal.confref.org/list/bigdata2014
WMT,WMT 2014,Baltimore,United States of America,2014-06-26,2014-06-27,2014,http://portal.confref.org/list/wmt2014
SLPAT,SLPAT 2014,Baltimore,United States of America,2014-06-26,2014-06-26,2014,http://portal.confref.org/list/slpat2014
IEEEGSC,IEEEGSC 2014,Passau,Germany,2014-06-26,2014-06-27,2014,http://portal.confref.org/list/ieeegsc2014
CONLL,CONLL 2014,Baltimore,United States of America,2014-06-26,2014-06-27,2014,http://portal.confref.org/list/conll2014
CIBB,CIBB 2014,Cambridge,UK,2014-06-26,2014-06-28,2014,http://portal.confref.org/list/cibb2014
BEA,BEA 2014,Baltimore,United States of America,2014-06-26,2014-06-26,2014,http://portal.confref.org/list/bea2014
ACL-CMCL,ACL-CMCL 2014,Baltimore,United States of America,2014-06-26,2014-06-26,2014,http://portal.confref.org/list/acl-cmcl2014
WG,WG 2014,Nouan-le-Fuzelier,France,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/wg2014
TVX,TVX 2014,Newcastle Upon Tyne,UK,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/tvx2014
SOFTCOMP,SOFTCOMP 2014,Bilbao,Spain,2014-06-25,2014-06-25,2014,http://portal.confref.org/list/softcomp2014
SACMAT,SACMAT 2014,London,Canada,2014-06-25,2014-06-25,2014,http://portal.confref.org/list/sacmat2014
PPIG,PPIG 2014,Brighton,UK,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/ppig2014
MCPR2,MCPR2 2014,Cancun,Mexico,2014-06-25,2014-06-28,2014,http://portal.confref.org/list/mcpr22014
MAM,MAM 2014,Lyon,France,2014-06-25,2014-06-25,2014,http://portal.confref.org/list/mam2014
ISMIS,ISMIS 2014,Roskilde,Denmark,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/ismis2014
ICOST,ICOST 2014,Denver,United States of America,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/icost2014
ICEUTE,ICEUTE 2014,Bilbao,Spain,2014-06-25,2014-06-25,2014,http://portal.confref.org/list/iceute2014
GEOINFORMATICS,GEOINFORMATICS 2014,Kaohsiung,Taiwan,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/geoinformatics2014
EUROSPI,EUROSPI 2014,Luxembourg,Luxembourg,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/eurospi2014
CISIS-SPAIN,CISIS-SPAIN 2014,Bilbao,Spain,2014-06-25,2014-06-25,2014,http://portal.confref.org/list/cisis-spain2014
BMSB,BMSB 2014,Beijing,People's Republic of China,2014-06-25,2014-06-27,2014,http://portal.confref.org/list/bmsb2014
APSYS,APSYS 2014,Beijing,People's Republic of China,2014-06-25,2014-06-26,2014,http://portal.confref.org/list/apsys2014
WHISPERS,WHISPERS 2014,Lausanne,Switzerland,2014-06-24,2014-06-27,2014,http://portal.confref.org/list/whispers2014
PACIS,PACIS 2014,Chengdu,People's Republic of China,2014-06-24,2014-06-28,2014,http://portal.confref.org/list/pacis2014
MIDI,MIDI 2014,Warsaw,Poland,2014-06-24,2014-06-25,2014,http://portal.confref.org/list/midi2014
ISPDC,ISPDC 2014,Marseille,France,2014-06-24,2014-06-27,2014,http://portal.confref.org/list/ispdc2014
ICL-GNSS,ICL-GNSS 2014,Helsinki,Finland,2014-06-24,2014-06-26,2014,http://portal.confref.org/list/icl-gnss2014
EUROHAPTICS,EUROHAPTICS 2014,Versailles,France,2014-06-24,2014-06-26,2014,http://portal.confref.org/list/eurohaptics2014
EUCC,EUCC 2014,Strasbourg,France,2014-06-24,2014-06-27,2014,http://portal.confref.org/list/eucc2014
ERSHOV,ERSHOV 2014,Saint Petersburg,Russia,2014-06-24,2014-06-27,2014,http://portal.confref.org/list/ershov2014
COSECIVI,COSECIVI 2014,Barcelona,Spain,2014-06-24,2014-06-24,2014,http://portal.confref.org/list/cosecivi2014
BMSD,BMSD 2014,Luxembourg,Luxembourg,2014-06-24,2014-06-26,2014,http://portal.confref.org/list/bmsd2014
WASA,WASA 2014,Harbin,China,2014-06-23,2014-06-25,2014,http://portal.confref.org/list/wasa2014
SPAA,SPAA 2014,Prague,Czech Republic,2014-06-23,2014-06-23,2014,http://portal.confref.org/list/spaa2014
ITICSE,ITICSE 2014,Uppsala,Sweden,2014-06-23,2014-06-25,2014,http://portal.confref.org/list/iticse2014
ISCC,ISCC 2014,Madeira,Portugal,2014-06-23,2014-06-26,2014,http://portal.confref.org/list/iscc2014
IPCO,IPCO 2014,Bonn,Germany,2014-06-23,2014-06-25,2014,http://portal.confref.org/list/ipco2014
INISTA,INISTA 2014,Alberobello,Italy,2014-06-23,2014-06-25,2014,http://portal.confref.org/list/inista2014
IBICA,IBICA 2014,Ostrava,Czech Republic,2014-06-23,2014-06-25,2014,http://portal.confref.org/list/ibica2014
HPDC,HPDC 2014,Vancouver,Canada,2014-06-23,2014-06-27,2014,http://portal.confref.org/list/hpdc2014
EUCNC,EUCNC 2014,Bologna,Italy,2014-06-23,2014-06-26,2014,http://portal.confref.org/list/eucnc2014
DSN,DSN 2014,Atlanta,United States of America,2014-06-23,2014-06-26,2014,http://portal.confref.org/list/dsn2014
DAMON,DAMON 2014,Snowbird,United States of America,2014-06-23,2014-06-23,2014,http://portal.confref.org/list/damon2014
CVPR,CVPR 2014,Columbus,USA,2014-06-23,2014-06-28,2014,http://portal.confref.org/list/cvpr2014
CN,CN 2014,Brunów,Poland,2014-06-23,2014-06-27,2014,http://portal.confref.org/list/cn2014
CIE,CIE 2014,Pest,Hungary,2014-06-23,2014-06-27,2014,http://portal.confref.org/list/cie2014
BIOMET,BIOMET 2014,Sofia,Bulgaria,2014-06-23,2014-06-24,2014,http://portal.confref.org/list/biomet2014
